Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
00173,="23:19:55,848",0x7D10009,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00174,="23:19:59,059",0x7D17CFF,ch1,Receive,0x0016,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00175,="23:20:00,079",0x7D1A42A,ch1,Receive,0x0016,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00176,="23:20:01,068",0x7D1CBC5,ch1,Receive,0x0056,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00177,="23:20:02,089",0x7D1F322,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00178,="23:20:03,079",0x7D21A25,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00179,="23:20:04,098",0x7D24129,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00180,="23:20:05,090",0x7D26841,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00181,="23:20:06,079",0x7D28F44,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00182,="23:20:07,098",0x7D2B648,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00183,="23:20:08,088",0x7D2DD4B,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00184,="23:20:09,109",0x7D30463,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00185,="23:20:10,098",0x7D32B67,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00186,="23:20:11,089",0x7D3526A,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00187,="23:20:12,109",0x7D3796E,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00188,="23:20:13,099",0x7D3A086,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00189,="23:20:14,089",0x7D3C789,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00190,="23:20:15,108",0x7D3EE8D,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00191,="23:20:18,319",0x7D46BAB,ch1,Receive,0x0016,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00192,="23:20:20,329",0x7D4BA52,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00193,="23:20:21,319",0x7D4E16A,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00194,="23:20:22,310",0x7D5086D,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00195,="23:20:23,330",0x7D52F71,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00196,="23:20:24,320",0x7D55675,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00197,="23:20:25,310",0x7D57D8C,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00198,="23:20:26,328",0x7D5A490,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00199,="23:20:27,319",0x7D5CB94,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00200,="23:20:28,338",0x7D5F297,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00201,="23:20:29,328",0x7D619AF,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00202,="23:20:30,320",0x7D640B3,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00203,="23:20:35,539",0x7D70BB0,ch1,Receive,0x0016,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00204,="23:20:36,528",0x7D732DC,ch1,Receive,0x0016,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00205,="23:20:37,549",0x7D75A76,ch1,Receive,0x0056,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00206,="23:20:38,570",0x7D781D3,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00207,="23:20:39,558",0x7D7A8D6,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00208,="23:20:51,560",0x7D97D3E,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00209,="23:20:54,769",0x7D9FA5C,ch1,Receive,0x0016,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00210,="23:20:55,759",0x7DA2188,ch1,Receive,0x0016,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
